G,H,W
Itm2a,10,7
Pglyrp1,4,12
Mog,7,3
Igfbp7,4,5
Slc1a3,20,9
Fxyd1,2,10
Fabp7,6,3
Fn1,42,14
Dcn,8,14
Myl9,3,9
Gnb3,5,11
Sparc,6,4
Doc2g,4,9
Ctla2a,4,10
Rarres2,6,14
Gfap,4,4
Gsn,9,7
Car2,9,8
Apod,10,7
Ecrg4,5,3
Rgs5,1,5
Pltp,10,15
Dbi,2,2
Flt1,15,10
P2ry12,10,11
Vat1l,19,6
C1qb,6,11
Nmb,4,15
Sirt2,8,5
Tagln,6,19
Fcer1g,5,14
Epas1,25,11
Gng12,21,10
C1qc,6,12
Gltp,4,8
Rras2,9,20
Igfbp2,3,9
Gpr17,32,17
Higd1b,1,11
Opalin,7,12
Sag,6,7
C1qa,3,8
Hmgb2,12,17
Vim,1,7
Igfbp6,3,13
Olig1,5,10
Cd81,6,4
Vtn,11,8
Klk6,8,11
Sostdc1,10,10
Trf,13,3
Marcks,22,4
Aqp4,22,10
Ctss,8,8
Bsg,6,2
Igf2,4,14
Fbln5,32,21
Lyz2,7,7
Arpc1b,6,9
Qk,9,11
Foxj1,13,19
Fa2h,7,12
Cldn5,4,4
Mag,5,4
Tspan2,16,7
Ptgds,3,1
Slc6a11,23,15
Cd9,4,9
Hexb,9,6
Selenop,12,10
Cdhr1,30,11
S100b,5,5
Ttr,3,1
