Gene,nProbes to buy
Apod,7
Aqp4,10
Arpc1b,9
Bsg,2
C1qa,8
C1qb,11
C1qc,12
Car2,8
Cd81,4
Cd9,9
Cdhr1,11
Cldn5,4
Crip1,5
Ctla2a,10
Ctss,8
Dbi,2
Dcn,14
Doc2g,9
Ecrg4,3
Epas1,11
Fa2h,12
Fabp7,3
Fbln5,21
Fcer1g,14
Flt1,10
Fn1,14
Foxj1,19
Fxyd1,10
Gfap,4
Gltp,8
Gnb3,11
Gng12,10
Gpr17,17
Gsn,7
Hexb,6
Higd1b,11
Hmgb2,17
Igf2,14
Igfbp2,9
Igfbp6,13
Igfbp7,5
Itm2a,7
Klk6,11
Lyz2,7
Mag,4
Marcks,4
Mgp,4
Mobp,3
Mog,3
Myl9,9
Nmb,15
Olig1,10
Opalin,12
P2ry12,11
Pglyrp1,12
Pltp,15
Ptgds,1
Qk,11
Rarres2,14
Rgs5,5
Rras2,20
S100b,5
Sag,7
Selenop,10
Sirt2,5
Slc1a3,9
Slc6a11,15
Sostdc1,10
Sparc,4
Tagln,19
Trf,3
Tspan2,7
Ttr,1
Vat1l,6
Vim,7
Vtn,8
